AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,760109,ต. เวียงคอย,Wiang Khoi,7601,อ. เมืองเพชรบุรี,Mueang Phetchaburi,76,จ. เพชรบุรี,Phetchaburi,13.121,99.900
4,500115,ต. ป่าตัน,Pa Tan,5001,อ. เมืองเชียงใหม่,Mueang Chiang Mai,50,จ. เชียงใหม่,Chiang Mai,18.811,98.999
4,170101,ต. บางพุทรา,Bang Phutsa,1701,อ. เมืองสิงห์บุรี,Mueang Sing Buri,17,จ. สิงห์บุรี,Sing Buri,14.890,100.404
4,103701,แขวง ทุ่งพญาไท,,1037,เขต ราชเทวี,Rat Thewi,10,กรุงเทพมหานคร,Bangkok,13.763,100.530
4,140104,ต. หัวรอ,Hua Ro,1401,อ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.368,100.578
4,810301,ต. เกาะลันตาใหญ่,Ko Lanta Yai,8103,อ. เกาะลันตา,Ko Lanta,81,จ. กระบี่,Krabi,7.207,99.061
4,750211,ต. ยายแพง,Yai Phaeng,7502,อ. บางคนที,Bang Khonthi,75,จ. สมุทรสงคราม,Samut Songkhram,13.487,99.958
4,700501,ต. บ้านโป่ง,Ban Pong,7005,อ. บ้านโป่ง,Ban Pong,70,จ. ราชบุรี,Ratchaburi,13.816,99.873
4,110406,ต. บางหัวเสือ,Bang Hua Suea,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.625,100.549
4,200101,ต. บางปลาสร้อย,Bang Pla Soi,2001,อ. เมืองชลบุรี,Mueang Chon Buri,20,จ. ชลบุรี,Chon Buri,13.364,100.987
4,260101,ต. นครนายก,Nakhon Nayok,2601,อ. เมืองนครนายก,Mueang Nakhon Nayok,26,จ. นครนายก,Nakhon Nayok,14.204,101.219
4,750210,ต. บางนกแขวก,Bang Nok Khwaek,7502,อ. บางคนที,Bang Khonthi,75,จ. สมุทรสงคราม,Samut Songkhram,13.504,99.923
4,810502,ต. แหลมสัก,Laem Sak,8105,อ. อ่าวลึก,Ao Luek,81,จ. กระบี่,Krabi,8.262,98.630
4,102208,แขวง คลองขวาง,,1022,เขต ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.738,100.423
4,810301,ต. เกาะลันตาใหญ่,Ko Lanta Yai,8103,อ. เกาะลันตา,Ko Lanta,81,จ. กระบี่,Krabi,7.224,99.080
4,230601,ต. เกาะหมาก,Ko Mak,2306,อ. เกาะกูด,Ko Kut,23,จ. ตราด,Trat,11.804,102.383
4,140816,ต. บ้านใหญ่,Ban Yai,1408,อ. ผักไห่,Phak Hai,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.435,100.384
4,810802,ต. เกาะศรีบอยา,Ko Si Boya,8108,อ. เหนือคลอง,Nuea Khlong,81,จ. กระบี่,Krabi,7.829,98.988
4,190201,ต. แก่งคอย,Kaeng Khoi,1902,อ. แก่งคอย,Kaeng Khoi,19,จ. สระบุรี,Saraburi,14.586,101.002
4,103502,แขวง บางค้อ,,1035,เขต จอมทอง,Chom Thong,10,กรุงเทพมหานคร,Bangkok,13.702,100.476
4,840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,9.393,99.669
4,750208,ต. บางกุ้ง,Bang Kung,7502,อ. บางคนที,Bang Khonthi,75,จ. สมุทรสงคราม,Samut Songkhram,13.459,99.931
4,730301,ต. นครชัยศรี,Nakhon Chai Si,7303,อ. นครชัยศรี,Nakhon Chai Si,73,จ. นครปฐม,Nakhon Pathom,13.787,100.192
4,120204,ต. บางขนุน,Bang Khanun,1202,อ. บางกรวย,Bang Kruai,12,จ. นนทบุรี,Nonthaburi,13.811,100.453
4,860101,ต. ท่าตะเภา,Tha Taphao,8601,อ. เมืองชุมพร,Mueang Chumphon,86,จ. ชุมพร,Chumphon,10.498,99.179
4,110412,ต. บางกอบัว,Bang Ko Bua,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.693,100.577
4,140111,ต. คลองตะเคียน,Khlong Takhian,1401,อ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.331,100.554
4,110411,ต. บางกระสอบ,Bang Krasop,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.666,100.566
4,940101,ต. สะบารัง,Sabarang,9401,อ. เมืองปัตตานี,Mueang Pattani,94,จ. ปัตตานี,Pattani,6.876,101.251
4,500101,ต. ศรีภูมิ,Si Phum,5001,อ. เมืองเชียงใหม่,Mueang Chiang Mai,50,จ. เชียงใหม่,Chiang Mai,18.796,98.985
4,102504,แขวง บางยี่ขัน,,1025,เขต บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok,13.774,100.492
4,102009,แขวง อรุณอมรินทร์,,1020,เขต บางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,Bangkok,13.772,100.477
4,750301,ต. อัมพวา,Amphawa,7503,อ. อัมพวา,Amphawa,75,จ. สมุทรสงคราม,Samut Songkhram,13.427,99.954
4,850105,ต. ปากน้ำ,Pak Nam,8501,อ. เมืองระนอง,Mueang Ranong,85,จ. ระนอง,Ranong,9.905,98.479
4,200601,ต. พนัสนิคม,Phanat Nikhom,2006,อ. พนัสนิคม,Phanat Nikhom,20,จ. ชลบุรี,Chon Buri,13.450,101.180
4,710507,ต. ท่าเรือ (เทศบาลเมืองพระแท่น),Tha Ruea,7105,อ. ท่ามะกา,Tha Maka,71,จ. กาญจนบุรี,Kanchanaburi,13.954,99.752
4,102803,แขวง ทุ่งมหาเมฆ,,1028,เขต สาทร,Sa Thon,10,กรุงเทพมหานคร,Bangkok,13.718,100.541
4,110402,ต. ตลาด,Bang Phueng,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.671,100.520
4,130105,ต. บ้านกระแชง,Ban Krachaeng,1301,อ. เมืองปทุมธานี,Mueang Pathum Thani,13,จ. ปทุมธานี,Pathum Thani,14.031,100.552
4,102207,แขวง บางแวก,,1022,เขต ภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,Bangkok,13.736,100.445
4,110408,ต. บางยอ,Bang Yo,1104,อ. พระประแดง,Phra Pradaeng,11,จ. สมุทรปราการ,Samut Prakarn,13.679,100.558
4,140114,ต. ลุมพลี,Lumphli,1401,อ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.376,100.548
4,940105,ต. ตันหยงลุโละ,Tanyong Lulo,9401,อ. เมืองปัตตานี,Mueang Pattani,94,จ. ปัตตานี,Pattani,6.877,101.305
4,102502,แขวง บางอ้อ,,1025,เขต บางพลัด,Bang Phlat,10,กรุงเทพมหานคร,Bangkok,13.802,100.512
4,220201,ต. ขลุง,Khlung,2202,อ. ขลุง,Khlung,22,จ. จันทบุรี,Chanthaburi,12.452,102.218
4,190106,ต. นาโฉง,Na Chong,1901,อ. เมืองสระบุรี,Mueang Saraburi,19,จ. สระบุรี,Saraburi,14.529,100.886
